"","C1 - SD23","C10 - SD25","C10 - SD35","C11 - SD13","C14 - SD17","C14 - SD22","C14 - SD25","C14 - SD5","C15 - SD14","C15 - SD16","C15 - SD35","C15 - SD6","C17 - SD24","C17 - SD26","C17 - SD8","C18 - SD16","C18 - SD40","C2 - SD42","C2 - SD7","C21 - SD1","C21 - SD21","C21 - SD40","C22 - SD18","C22 - SD31","C23 - SD16","C23 - SD24","C23 - SD3","C23 - SD32","C24 - SD18","C24 - SD4","C25 - SD38","C25 - SD6","C25 - SD9","C27 - SD3","C27 - SD35","C27 - SD41","C27 - SD8","C28 - SD1","C28 - SD15","C28 - SD38","C29 - SD12","C29 - SD19","C3 - SD39","C3 - SD5","C3 - SD7","C30 - SD17","C30 - SD22","C31 - SD15","C31 - SD3","C31 - SD41","C31 - SD6","C32 - SD13","C32 - SD17","C32 - SD26","C32 - SD39","C33 - SD1","C33 - SD23","C33 - SD32","C33 - SD38","C34 - SD21","C35 - SD16","C36 - SD32","C37 - SD31","C4 - SD12","C4 - SD26","C4 - SD36","C5 - SD34","C6 - SD41","C7 - SD42","C8 - SD11","C9 - SD25"
"C32 - SD26",0.272727272727273,0.142857142857143,0.333333333333333,0.555555555555556,0.375,0.2,0.111111111111111,0.25,0.125,0.5,0.428571428571429,0.666666666666667,0.222222222222222,0.333333333333333,0.5,0.222222222222222,0.363636363636364,0.222222222222222,0.222222222222222,0.125,0.125,0.4,0.25,0.181818181818182,0.25,0.625,0.2,0.363636363636364,0.444444444444444,0.285714285714286,0.428571428571429,0.125,0.181818181818182,0.142857142857143,0.125,0.375,0.111111111111111,0.454545454545455,0.142857142857143,0.125,0.125,0.375,0.125,0.142857142857143,0.142857142857143,0.142857142857143,0.444444444444444,0.25,0.2,0.25,0.142857142857143,0.111111111111111,0.375,7,2,2,3,1,2,4,2,6,5,2,1,3,1,2,5,1,2
"C32 - SD39",0.285714285714286,0.5,0.166666666666667,0.285714285714286,0.5,0.166666666666667,0.25,0.666666666666667,0.333333333333333,0.111111111111111,0.666666666666667,0.25,0.2,0.222222222222222,0.25,0.5,0.111111111111111,0.5,0,0.333333333333333,0,0.285714285714286,0.666666666666667,0.142857142857143,0.25,0.142857142857143,0.166666666666667,0.111111111111111,0.333333333333333,0.333333333333333,0,0.333333333333333,0.142857142857143,0.5,0.333333333333333,0.2,0.25,0.1,0.5,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.5,0.5,0.142857142857143,0.111111111111111,0.166666666666667,0.666666666666667,0.5,0.25,0.5,0.285714285714286,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,1,1
"C33 - SD1",0.428571428571429,0.333333333333333,0.142857142857143,0.25,0.4,0.333333333333333,0.2,0.5,0.666666666666667,0.1,0.5,0.375,0.166666666666667,0.2,0.375,0.75,0.222222222222222,0.75,0,0.25,0,0.25,1,0.285714285714286,0.2,0.125,0.333333333333333,0.222222222222222,0.285714285714286,0.25,0,0.666666666666667,0.285714285714286,0.333333333333333,0.25,0.166666666666667,0.2,0.0909090909090909,0.333333333333333,0.666666666666667,0.666666666666667,0.4,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.285714285714286,0.222222222222222,0.333333333333333,0.5,0.333333333333333,0.5,0.75,0.25,0.666666666666667,3,2,1,3,2,1,3,3,1,2,2,1,2,3,1,1
"C33 - SD23",0.714285714285714,0.2,0.666666666666667,0.333333333333333,0.5,0.25,0.333333333333333,0.333333333333333,0.166666666666667,0.444444444444444,0.333333333333333,0.3,0.285714285714286,0.4,0.3,0.5,0.3,0.5,0.125,0.166666666666667,0,0.714285714285714,0.333333333333333,0.222222222222222,0.142857142857143,0.375,0.25,0.3,0.375,0.166666666666667,0,0.166666666666667,0.222222222222222,0.2,0.166666666666667,0.285714285714286,0.333333333333333,0.272727272727273,0.2,0.166666666666667,0.166666666666667,0.285714285714286,0.166666666666667,0.2,0.2,0.2,0.222222222222222,0.3,0.25,0.333333333333333,0.2,0.333333333333333,0.285714285714286,0.333333333333333,0.4,0.333333333333333,5,1,3,2,2,3,4,3,1,2,2,1,5,1,1
"C33 - SD32",0.142857142857143,1,0.2,0.142857142857143,0.25,0.2,0.333333333333333,0.333333333333333,0.5,0.125,0.333333333333333,0.125,0.25,0.111111111111111,0.125,0.25,0.125,0.25,0,0.5,0,0.142857142857143,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.2,0.125,0.166666666666667,0.5,0,0.5,0.166666666666667,1,0.5,0.25,0.333333333333333,0.111111111111111,0,0.5,0.5,0.25,0.5,1,1,1,0.166666666666667,0.125,0.2,0.333333333333333,1,0.333333333333333,0.25,0.142857142857143,0.5,0.333333333333333,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C33 - SD38",0.555555555555556,0.142857142857143,0.2,0.166666666666667,0.375,0.5,0.428571428571429,0.428571428571429,0.285714285714286,0.25,0.25,0.25,0.375,0.454545454545455,0.363636363636364,0.571428571428571,0.363636363636364,0.571428571428571,0.1,0.285714285714286,0.125,0.4,0.428571428571429,0.3,0.25,0.0833333333333333,0.5,0.363636363636364,0.3,0.125,0,0.285714285714286,0.444444444444444,0.142857142857143,0.285714285714286,0.222222222222222,0.25,0.230769230769231,0.142857142857143,0.285714285714286,0.285714285714286,0.375,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0.3,0.363636363636364,0.333333333333333,0.428571428571429,0.142857142857143,0.25,0.375,0.166666666666667,0.285714285714286,0.428571428571429,0.333333333333333,0.142857142857143,7,3,2,4,4,2,2,2,2,3,4,1,1
"C34 - SD21",0.4,0.142857142857143,0.333333333333333,0.166666666666667,0.1,0.2,0.111111111111111,0.111111111111111,0.285714285714286,0.25,0.111111111111111,0.5,0.375,0.333333333333333,0.363636363636364,0.222222222222222,0.25,0.222222222222222,0.222222222222222,0.125,0.125,0.4,0.25,0.3,0.111111111111111,0.3,0.333333333333333,0.363636363636364,0.181818181818182,0.285714285714286,0.111111111111111,0.285714285714286,0.444444444444444,0.142857142857143,0.125,0.375,0.111111111111111,0.454545454545455,0,0.285714285714286,0.285714285714286,0.222222222222222,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0.444444444444444,0.363636363636364,0.333333333333333,0.25,0.142857142857143,0.25,0.375,0.4,0.125,0.25,0.2,0.142857142857143,0.272727272727273,7,2,7,5,2,2,2,1,3,4,1,2
"C35 - SD16",0.222222222222222,0.25,0.5,0.375,0.333333333333333,0.285714285714286,0.4,0.166666666666667,0.2,0.333333333333333,0.166666666666667,0.333333333333333,0.6,0.181818181818182,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.2,0.222222222222222,0.166666666666667,0.111111111111111,0.166666666666667,0.25,0.5,0.333333333333333,0.666666666666667,0.5,0.166666666666667,0.2,0.25,0.25,0.2,0.6,0.75,0.3,0,0.2,0.2,0.142857142857143,0.2,0.25,0.25,0.25,0.428571428571429,0.333333333333333,0.285714285714286,0.166666666666667,0.25,0.166666666666667,0.333333333333333,0.222222222222222,0.2,0.166666666666667,0.285714285714286,0.25,0.222222222222222,0.222222222222222,4,2,2,3,1,1,2,1,3,1,2
"C36 - SD32",0.454545454545455,0.111111111111111,0.272727272727273,0.333333333333333,0.3,0.272727272727273,0.0909090909090909,0.2,0.222222222222222,0.307692307692308,0.333333333333333,0.7,0.3,0.5,0.545454545454545,0.3,0.307692307692308,0.3,0.181818181818182,0.1,0.1,0.454545454545455,0.333333333333333,0.363636363636364,0.2,0.363636363636364,0.272727272727273,0.416666666666667,0.363636363636364,0.222222222222222,0.2,0.222222222222222,0.363636363636364,0.111111111111111,0.1,0.3,0.0909090909090909,0.5,0.111111111111111,0.222222222222222,0.222222222222222,0.444444444444444,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0.5,0.416666666666667,0.272727272727273,0.333333333333333,0.111111111111111,0.2,0.444444444444444,0.6,0.222222222222222,0.333333333333333,0.272727272727273,0.111111111111111,0.333333333333333,0.777777777777778,0.181818181818182,9,7,2,2,3,1,3,6,1,2
"C37 - SD31",0.545454545454545,0.1,0.363636363636364,0.416666666666667,0.272727272727273,0.25,0.0833333333333333,0.181818181818182,0.2,0.384615384615385,0.3,0.5,0.272727272727273,0.357142857142857,0.384615384615385,0.272727272727273,0.384615384615385,0.272727272727273,0.166666666666667,0.0909090909090909,0.0909090909090909,0.416666666666667,0.3,0.454545454545455,0.181818181818182,0.454545454545455,0.25,0.384615384615385,0.333333333333333,0.2,0.181818181818182,0.2,0.454545454545455,0.1,0.0909090909090909,0.166666666666667,0.0833333333333333,0.357142857142857,0.1,0.2,0.2,0.4,0.2,0.1,0.1,0.1,0.333333333333333,0.384615384615385,0.153846153846154,0.3,0.1,0.3,0.4,0.416666666666667,0.2,0.3,0.363636363636364,0.1,0.307692307692308,0.416666666666667,0.166666666666667,0.583333333333333,10,3,2,2,1,2,7,1,2
"C4 - SD12",0.375,0.25,0.8,0.375,0.333333333333333,0.285714285714286,0.4,0.166666666666667,0.2,0.5,0.166666666666667,0.2,0.6,0.181818181818182,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.2,0.2,0.375,0.166666666666667,0.25,0.166666666666667,0.428571428571429,0.5,0.333333333333333,0.428571428571429,0.5,0.166666666666667,0.2,0.428571428571429,0.25,0.2,0.6,0.4,0.3,0,0.2,0.2,0.142857142857143,0.2,0.25,0.25,0.25,0.428571428571429,0.5,0.285714285714286,0.166666666666667,0.25,0.4,0.333333333333333,0.222222222222222,0.2,0.166666666666667,0.5,0.25,0.222222222222222,0.222222222222222,0.6,0.181818181818182,0.272727272727273,4,1,1,2,1,4,1,2
"C4 - SD26",0.285714285714286,0.5,0.166666666666667,0.125,0.2,0.4,0.25,0.25,1,0.111111111111111,0.25,0.25,0.2,0.1,0.25,0.5,0.25,0.5,0,0.333333333333333,0,0.125,0.666666666666667,0.333333333333333,0.25,0.142857142857143,0.4,0.25,0.142857142857143,0.333333333333333,0,1,0.333333333333333,0.5,0.333333333333333,0.2,0.25,0.1,0,1,1,0.2,1,0.5,0.5,0.5,0.333333333333333,0.25,0.4,0.25,0.5,0.666666666666667,0.5,0.125,0.333333333333333,0.666666666666667,0.166666666666667,0.5,0.285714285714286,0.285714285714286,0.2,0.222222222222222,0.2,0.2,2,1,1,2,2,1,1
"C4 - SD36",0.25,0.333333333333333,0.142857142857143,0.25,0.4,0.142857142857143,0.2,0.5,0.25,0.1,0.5,0.375,0.166666666666667,0.2,0.375,0.4,0.1,0.4,0.166666666666667,0.25,0,0.428571428571429,0.5,0.125,0.2,0.125,0.142857142857143,0.1,0.285714285714286,0.25,0,0.25,0.125,0.333333333333333,0.25,0.4,0.2,0.2,0.333333333333333,0.25,0.25,0.4,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0.285714285714286,0.1,0.333333333333333,0.5,0.333333333333333,0.2,0.4,0.428571428571429,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.25,0.25,0.166666666666667,0.333333333333333,0.181818181818182,0.166666666666667,0.25,3,1,2,2,1,1
"C5 - SD34",0.285714285714286,0.5,0.4,0.125,0.5,0.4,0.666666666666667,0.25,0.333333333333333,0.25,0.25,0.111111111111111,0.5,0.222222222222222,0.25,0.5,0.25,0.5,0.2,0.333333333333333,0,0.285714285714286,0.25,0.142857142857143,0.25,0.142857142857143,0.4,0.25,0.333333333333333,0.333333333333333,0,0.333333333333333,0.142857142857143,0.5,0.333333333333333,0.5,0.666666666666667,0.222222222222222,0,0.333333333333333,0.333333333333333,0.2,0.333333333333333,0.5,0.5,0.5,0.333333333333333,0.25,0.4,0.25,0.5,0.25,0.2,0.125,0.333333333333333,0.25,0.4,0.5,0.285714285714286,0.125,0.5,0.1,0.0909090909090909,0.5,0.333333333333333,0.25,2,1,2,1,1
"C6 - SD41",0.222222222222222,0.25,0.125,0.1,0.142857142857143,0.5,0.4,0.4,0.5,0.2,0.166666666666667,0.333333333333333,0.142857142857143,0.181818181818182,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.142857142857143,0.5,0.2,0.222222222222222,0.4,0.25,0.4,0.111111111111111,0.5,0.333333333333333,0.111111111111111,0.2,0,0.5,0.428571428571429,0.25,0.5,0.333333333333333,0.166666666666667,0.3,0,0.5,0.5,0.142857142857143,0.5,0.25,0.25,0.25,0.428571428571429,0.333333333333333,0.5,0.166666666666667,0.25,0.4,0.333333333333333,0.222222222222222,0.2,0.4,0.125,0.25,0.375,0.375,0.142857142857143,0.3,0.166666666666667,0.142857142857143,0.5,0.4,0.2,4,2,1,1
"C7 - SD42",0.666666666666667,0.125,0.625,0.5,0.5,0.444444444444444,0.222222222222222,0.222222222222222,0.25,0.6,0.375,0.6,0.333333333333333,0.416666666666667,0.6,0.5,0.6,0.5,0.2,0.111111111111111,0.111111111111111,0.5,0.375,0.4,0.222222222222222,0.555555555555556,0.444444444444444,0.6,0.555555555555556,0.25,0.222222222222222,0.25,0.4,0.125,0.111111111111111,0.333333333333333,0.222222222222222,0.416666666666667,0.125,0.25,0.25,0.333333333333333,0.25,0.125,0.125,0.125,0.555555555555556,0.6,0.3,0.222222222222222,0.125,0.375,0.5,0.5,0.25,0.375,0.625,0.125,0.363636363636364,0.363636363636364,0.333333333333333,0.545454545454545,0.636363636363636,0.5,0.25,0.222222222222222,0.25,0.2,8,1,2
"C8 - SD11",0.142857142857143,1,0.2,0.142857142857143,0.25,0.2,0.333333333333333,0.333333333333333,0.5,0.125,0.333333333333333,0.125,0.25,0.111111111111111,0.125,0.25,0.125,0.25,0,0.5,0,0.142857142857143,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.2,0.125,0.166666666666667,0.5,0,0.5,0.166666666666667,1,0.5,0.25,0.333333333333333,0.111111111111111,0,0.5,0.5,0.25,0.5,1,1,1,0.166666666666667,0.125,0.2,0.333333333333333,1,0.333333333333333,0.25,0.142857142857143,0.5,0.333333333333333,0.2,1,0.142857142857143,0.142857142857143,0.25,0.111111111111111,0.1,0.25,0.5,0.333333333333333,0.5,0.25,0.125,1,1
"C9 - SD25",0.125,0.5,0.4,0.285714285714286,0.2,0.166666666666667,0.25,0.25,0.333333333333333,0.25,0.25,0.25,0.5,0.1,0.25,0.2,0.25,0.2,0.2,0.333333333333333,0.333333333333333,0.125,0.25,0.142857142857143,0.25,0.333333333333333,0.4,0.25,0.333333333333333,1,0.25,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.25,0.222222222222222,0,0.333333333333333,0.333333333333333,0.2,0.333333333333333,0.5,0.5,0.5,0.333333333333333,0.25,0.166666666666667,0.25,0.5,0.25,0.5,0.285714285714286,0.333333333333333,0.25,0.166666666666667,0.5,0.125,0.285714285714286,0.5,0.222222222222222,0.2,0.5,0.333333333333333,0.25,0.333333333333333,0.2,0.25,0.5,2
